slug,window_ts,window_time,resolution,num_trades,window_trades,total_volume,implied_up_4m,trades_4m,implied_up_3m,trades_3m,implied_up_2m,trades_2m,implied_up_1m,trades_1m,implied_up_30s,trades_30s
btc-updown-5m-1771941900,1771941900,2026-02-24 14:05,UP,1000,966,76915.96,,0,0.9470,541,0.9835,322,0.9895,88,0.9900,48
btc-updown-5m-1771942200,1771942200,2026-02-24 14:10,UP,1000,777,34972.91,,0,,0,,0,0.1476,218,0.5599,777
btc-updown-5m-1771942500,1771942500,2026-02-24 14:15,DOWN,1000,953,37338.24,,0,,0,0.1892,109,0.0810,727,0.0299,509
btc-updown-5m-1771942800,1771942800,2026-02-24 14:20,UP,1000,968,37858.06,,0,0.8657,138,0.9049,468,0.9746,392,0.9897,167
btc-updown-5m-1771943100,1771943100,2026-02-24 14:25,UP,1000,915,48194.49,,0,,0,,0,0.7887,467,0.9048,915
btc-updown-5m-1771943400,1771943400,2026-02-24 14:30,DOWN,1000,958,54818.73,,0,,0,0.0971,379,0.0449,557,0.0138,238
btc-updown-5m-1771943700,1771943700,2026-02-24 14:35,UP,1000,946,46955.93,,0,0.6932,165,0.9005,750,0.9898,72,0.9900,17
btc-updown-5m-1771944000,1771944000,2026-02-24 14:40,UP,1000,950,46275.61,,0,,0,0.7746,258,0.9327,694,0.9739,373
btc-updown-5m-1771944300,1771944300,2026-02-24 14:45,UP,1000,950,41076.65,,0,,0,0.9518,402,0.9526,567,0.9686,235
btc-updown-5m-1771944600,1771944600,2026-02-24 14:50,UP,1000,923,37762.53,,0,,0,,0,0.8861,638,0.9075,741
btc-updown-5m-1771944900,1771944900,2026-02-24 14:55,DOWN,1000,962,33612.90,,0,0.2703,58,0.1245,734,0.0194,183,0.0100,59
btc-updown-5m-1771945200,1771945200,2026-02-24 15:00,DOWN,1000,837,51418.18,,0,,0,,0,0.4406,340,0.3103,837
btc-updown-5m-1771945500,1771945500,2026-02-24 15:05,UP,1000,937,43049.57,,0,,0,,0,0.6555,521,0.8037,937
btc-updown-5m-1771945800,1771945800,2026-02-24 15:10,UP,1000,893,41468.96,,0,,0,,0,0.6216,264,0.9084,893
btc-updown-5m-1771946100,1771946100,2026-02-24 15:15,UP,1000,952,44440.76,,0,,0,0.7378,179,0.9402,724,0.9864,442
btc-updown-5m-1771946400,1771946400,2026-02-24 15:20,UP,1000,957,37612.04,,0,,0,,0,0.9004,902,0.9384,857
btc-updown-5m-1771946700,1771946700,2026-02-24 15:25,UP,1000,908,37525.26,,0,,0,,0,0.1043,155,0.6565,908
btc-updown-5m-1771947000,1771947000,2026-02-24 15:30,DOWN,1000,835,36404.84,,0,,0,,0,0.2182,257,0.1820,835
btc-updown-5m-1771947300,1771947300,2026-02-24 15:35,DOWN,1000,910,42374.03,,0,,0,0.1017,636,0.0199,307,0.0130,102
btc-updown-5m-1771947600,1771947600,2026-02-24 15:40,DOWN,1000,799,48191.15,,0,,0,,0,0.6497,149,0.3548,799
btc-updown-5m-1771947900,1771947900,2026-02-24 15:45,UP,1000,951,41426.61,,0,,0,0.8691,242,0.9632,694,0.9784,381
btc-updown-5m-1771948200,1771948200,2026-02-24 15:50,DOWN,1000,890,23877.66,,0,,0,,0,0.3069,355,0.2496,890
btc-updown-5m-1771948500,1771948500,2026-02-24 15:55,UP,1000,968,52095.20,,0,,0,0.9608,553,0.9827,406,0.9834,236
btc-updown-5m-1771948800,1771948800,2026-02-24 16:00,UP,1000,955,48139.89,,0,0.9129,654,0.9836,296,0.9900,29,0.9900,12
btc-updown-5m-1771949100,1771949100,2026-02-24 16:05,DOWN,1000,911,53619.81,,0,,0,,0,0.0370,515,0.0382,911
btc-updown-5m-1771949400,1771949400,2026-02-24 16:10,DOWN,1000,831,48894.45,,0,,0,,0,0.5985,178,0.2765,831
btc-updown-5m-1771949700,1771949700,2026-02-24 16:15,DOWN,1000,911,54889.72,,0,,0,,0,0.0391,475,0.0293,795
btc-updown-5m-1771950000,1771950000,2026-02-24 16:20,DOWN,1000,945,37196.61,,0,,0,,0,0.0723,773,0.0314,637
btc-updown-5m-1771950300,1771950300,2026-02-24 16:25,DOWN,1000,932,42965.08,,0,,0,,0,0.0404,410,0.0678,905
btc-updown-5m-1771950600,1771950600,2026-02-24 16:30,DOWN,1000,970,74901.18,0.0791,125,0.0509,548,0.0117,247,0.0035,97,0.0017,53
btc-updown-5m-1771950900,1771950900,2026-02-24 16:35,UP,1000,971,53222.33,,0,,0,0.9525,743,0.9828,239,0.9900,51
btc-updown-5m-1771951200,1771951200,2026-02-24 16:40,UP,1000,962,52490.55,,0,,0,0.9611,483,0.9656,477,0.9873,185
btc-updown-5m-1771951500,1771951500,2026-02-24 16:45,DOWN,1000,925,52127.36,,0,,0,,0,0.0705,768,0.0460,882
btc-updown-5m-1771951800,1771951800,2026-02-24 16:50,UP,1000,869,44239.37,,0,,0,,0,0.3837,111,0.7695,869
btc-updown-5m-1771952100,1771952100,2026-02-24 16:55,UP,1000,984,54577.63,0.8402,21,0.9257,736,0.9796,240,0.9900,13,0.9900,15
btc-updown-5m-1771952400,1771952400,2026-02-24 17:00,DOWN,1000,651,95887.40,,0,,0,,0,,0,0.6974,651
btc-updown-5m-1771952700,1771952700,2026-02-24 17:05,UP,1000,968,62644.04,,0,0.7536,23,0.9490,880,0.9900,66,0.9900,59
btc-updown-5m-1771953000,1771953000,2026-02-24 17:10,DOWN,1000,751,45580.62,,0,,0,,0,0.6875,90,0.6010,751
btc-updown-5m-1771953300,1771953300,2026-02-24 17:15,DOWN,1000,974,53042.73,,0,,0,0.0550,663,0.0138,313,0.0100,43
btc-updown-5m-1771953600,1771953600,2026-02-24 17:20,UP,1000,870,48236.60,,0,,0,,0,0.9254,357,0.9436,870
btc-updown-5m-1771953900,1771953900,2026-02-24 17:25,DOWN,1000,951,62074.16,,0,,0,0.0678,59,0.0355,929,0.0124,293
btc-updown-5m-1771954200,1771954200,2026-02-24 17:30,UP,1000,799,51439.28,,0,,0,,0,0.5782,106,0.8447,799
btc-updown-5m-1771954500,1771954500,2026-02-24 17:35,UP,1000,948,50488.11,,0,,0,,0,0.9618,793,0.9724,807
btc-updown-5m-1771954800,1771954800,2026-02-24 17:40,DOWN,1000,964,31456.39,,0,,0,0.2038,128,0.0678,826,0.0213,439
btc-updown-5m-1771955100,1771955100,2026-02-24 17:45,UP,1000,951,51687.29,,0,,0,0.9455,227,0.9661,695,0.9683,387
btc-updown-5m-1771955400,1771955400,2026-02-24 17:50,DOWN,1000,905,37984.85,,0,,0,,0,0.1654,385,0.1045,905
btc-updown-5m-1771955700,1771955700,2026-02-24 17:55,UP,1000,970,43474.66,,0,0.8683,138,0.9655,699,0.9889,166,0.9900,42
btc-updown-5m-1771956000,1771956000,2026-02-24 18:00,UP,1000,889,30676.26,,0,,0,,0,0.7860,322,0.8545,889
btc-updown-5m-1771956300,1771956300,2026-02-24 18:05,DOWN,1000,933,44984.44,,0,,0,0.1530,141,0.0668,759,0.0261,570
btc-updown-5m-1771956600,1771956600,2026-02-24 18:10,DOWN,1000,958,43331.83,,0,,0,0.1461,588,0.0288,362,0.0100,59
btc-updown-5m-1771956900,1771956900,2026-02-24 18:15,UP,1000,977,51072.81,,0,0.8341,37,0.9346,880,0.9896,83,0.9900,20
btc-updown-5m-1771957200,1771957200,2026-02-24 18:20,UP,1000,934,38603.80,,0,,0,,0,0.8604,572,0.9192,811
btc-updown-5m-1771957500,1771957500,2026-02-24 18:25,UP,1000,751,31929.61,,0,,0,,0,0.5682,80,0.6537,751
btc-updown-5m-1771957800,1771957800,2026-02-24 18:30,UP,1000,957,46326.47,,0,,0,0.9495,408,0.9749,521,0.9804,336
btc-updown-5m-1771958100,1771958100,2026-02-24 18:35,UP,1000,487,67811.67,,0,,0,,0,0.0457,84,0.0334,487
btc-updown-5m-1771958400,1771958400,2026-02-24 18:40,UP,1000,562,43143.11,,0,,0,,0,,0,0.4727,562
btc-updown-5m-1771958700,1771958700,2026-02-24 18:45,UP,1000,962,35682.77,,0,,0,0.8349,159,0.9514,773,0.9790,417
btc-updown-5m-1771959000,1771959000,2026-02-24 18:50,DOWN,1000,687,40246.13,,0,,0,,0,,0,0.2856,687
btc-updown-5m-1771959300,1771959300,2026-02-24 18:55,DOWN,1000,943,48604.89,,0,,0,,0,0.1415,564,0.0791,943
btc-updown-5m-1771959600,1771959600,2026-02-24 19:00,UP,1000,913,48733.69,,0,,0,0.9465,171,0.9620,566,0.9792,519
btc-updown-5m-1771959900,1771959900,2026-02-24 19:05,UP,1000,924,74681.73,,0,,0,,0,0.9285,765,0.9688,581
btc-updown-5m-1771960200,1771960200,2026-02-24 19:10,DOWN,1000,967,66263.49,,0,0.0894,378,0.0510,530,0.0101,72,0.0100,24
btc-updown-5m-1771960500,1771960500,2026-02-24 19:15,DOWN,1000,762,58528.39,,0,,0,,0,0.3422,101,0.0942,762
btc-updown-5m-1771960800,1771960800,2026-02-24 19:20,UP,1000,958,62171.35,,0,,0,0.9332,439,0.9808,503,0.9851,215
btc-updown-5m-1771961100,1771961100,2026-02-24 19:25,DOWN,1000,938,48364.79,,0,,0,,0,0.0650,753,0.0542,655
btc-updown-5m-1771961400,1771961400,2026-02-24 19:30,UP,1000,936,63531.02,,0,,0,0.9478,163,0.9507,690,0.9798,376
btc-updown-5m-1771961700,1771961700,2026-02-24 19:35,UP,1000,886,49759.66,,0,,0,,0,0.7017,299,0.9037,886
btc-updown-5m-1771962000,1771962000,2026-02-24 19:40,UP,1000,941,43901.92,,0,,0,0.9081,176,0.9300,642,0.9684,470
btc-updown-5m-1771962300,1771962300,2026-02-24 19:45,DOWN,1000,704,42631.91,,0,,0,,0,0.2910,88,0.2341,704
btc-updown-5m-1771962600,1771962600,2026-02-24 19:50,DOWN,1000,941,35414.06,,0,,0,,0,0.1380,784,0.0614,723
btc-updown-5m-1771962900,1771962900,2026-02-24 19:55,UP,1000,893,39956.48,,0,,0,0.9636,58,0.9350,586,0.9362,614
btc-updown-5m-1771963200,1771963200,2026-02-24 20:00,UP,1000,653,47984.28,,0,,0,,0,0.3356,118,0.5173,653
btc-updown-5m-1771963500,1771963500,2026-02-24 20:05,DOWN,1000,950,51522.68,,0,,0,0.1152,540,0.0284,434,0.0127,184
btc-updown-5m-1771963800,1771963800,2026-02-24 20:10,UP,1000,958,51998.81,,0,,0,0.9396,748,0.9833,212,0.9900,54
btc-updown-5m-1771964100,1771964100,2026-02-24 20:15,UP,1000,951,52720.47,,0,,0,0.9672,307,0.9743,441,0.9746,458
btc-updown-5m-1771964400,1771964400,2026-02-24 20:20,UP,1000,948,37638.40,,0,,0,0.8385,151,0.9268,760,0.9628,531
btc-updown-5m-1771964700,1771964700,2026-02-24 20:25,DOWN,1000,910,40441.50,,0,,0,,0,0.6529,250,0.2056,910
btc-updown-5m-1771965000,1771965000,2026-02-24 20:30,UP,1000,955,56601.22,,0,,0,0.8933,169,0.9726,649,0.9762,474
btc-updown-5m-1771965300,1771965300,2026-02-24 20:35,DOWN,1000,935,43917.93,,0,,0,,0,0.2635,512,0.1393,935
btc-updown-5m-1771965600,1771965600,2026-02-24 20:40,UP,1000,915,36167.30,,0,,0,,0,0.6835,278,0.7773,915
btc-updown-5m-1771965900,1771965900,2026-02-24 20:45,DOWN,1000,950,57385.77,,0,,0,0.2052,131,0.0491,758,0.0268,399
btc-updown-5m-1771966200,1771966200,2026-02-24 20:50,UP,1000,920,40341.28,,0,,0,,0,0.8522,627,0.9319,721
btc-updown-5m-1771966500,1771966500,2026-02-24 20:55,UP,1000,912,53205.41,,0,,0,,0,0.9035,550,0.9423,912
btc-updown-5m-1771966800,1771966800,2026-02-24 21:00,DOWN,1000,996,104325.19,0.0519,762,0.0112,178,0.0100,48,0.0100,13,0.0100,12
btc-updown-5m-1771967100,1771967100,2026-02-24 21:05,UP,1000,943,47545.22,,0,,0,0.9570,332,0.9658,491,0.9646,413
btc-updown-5m-1771967400,1771967400,2026-02-24 21:10,UP,1000,791,34872.36,,0,,0,,0,0.7404,338,0.8137,791
btc-updown-5m-1771967700,1771967700,2026-02-24 21:15,DOWN,1000,988,66930.58,0.1658,298,0.0608,600,0.0108,106,0.0100,15,0.0100,17
btc-updown-5m-1771968000,1771968000,2026-02-24 21:20,UP,1000,935,55547.85,,0,,0,0.8870,264,0.9349,594,0.9650,491
btc-updown-5m-1771968300,1771968300,2026-02-24 21:25,DOWN,1000,975,45677.55,,0,0.2507,211,0.0490,707,0.0121,69,0.0100,23
btc-updown-5m-1771968600,1771968600,2026-02-24 21:30,DOWN,1000,880,34967.67,,0,,0,,0,0.3252,345,0.1998,880
btc-updown-5m-1771968900,1771968900,2026-02-24 21:35,UP,1000,974,91361.84,,0,0.8618,256,0.9575,620,0.9900,105,0.9900,44
btc-updown-5m-1771969200,1771969200,2026-02-24 21:40,UP,1000,877,49765.99,,0,,0,,0,0.8284,367,0.8525,877
btc-updown-5m-1771969500,1771969500,2026-02-24 21:45,UP,1000,802,46229.96,,0,,0,,0,0.8225,399,0.8992,802
btc-updown-5m-1771969800,1771969800,2026-02-24 21:50,DOWN,1000,827,43305.87,,0,,0,,0,0.0886,505,0.0659,708
btc-updown-5m-1771970100,1771970100,2026-02-24 21:55,UP,1000,965,51343.48,,0,0.9140,49,0.9243,421,0.9684,411,0.9730,350
btc-updown-5m-1771970400,1771970400,2026-02-24 22:00,UP,1000,972,65068.76,,0,,0,0.9491,921,0.9900,50,0.9900,20
btc-updown-5m-1771970700,1771970700,2026-02-24 22:05,DOWN,1000,888,45953.65,,0,,0,,0,0.0971,465,0.0998,803
btc-updown-5m-1771971000,1771971000,2026-02-24 22:10,UP,1000,924,37051.35,,0,,0,,0,0.9026,686,0.9302,785
btc-updown-5m-1771971300,1771971300,2026-02-24 22:15,DOWN,1000,963,37589.42,,0,,0,0.2255,391,0.0246,604,0.0142,173
btc-updown-5m-1771971600,1771971600,2026-02-24 22:20,UP,1000,772,34567.53,,0,,0,,0,0.8466,342,0.8815,772
btc-updown-5m-1771971900,1771971900,2026-02-24 22:25,DOWN,1000,775,68028.27,,0,,0,,0,0.6635,387,0.5120,775
btc-updown-5m-1771972200,1771972200,2026-02-24 22:30,DOWN,1000,786,34643.86,,0,,0,,0,0.2697,223,0.2345,786
btc-updown-5m-1771972500,1771972500,2026-02-24 22:35,DOWN,1000,813,73126.63,,0,,0,,0,0.9130,216,0.7564,813
btc-updown-5m-1771972800,1771972800,2026-02-24 22:40,DOWN,1000,960,48817.17,,0,,0,0.2281,42,0.0649,870,0.0287,554
btc-updown-5m-1771973100,1771973100,2026-02-24 22:45,UP,1000,946,55758.56,,0,,0,0.7869,134,0.8713,555,0.9571,544
btc-updown-5m-1771973400,1771973400,2026-02-24 22:50,DOWN,1000,971,63220.62,,0,0.1653,161,0.0636,477,0.0164,323,0.0100,94
btc-updown-5m-1771973700,1771973700,2026-02-24 22:55,UP,1000,967,67193.49,,0,0.9626,304,0.9610,454,0.9861,207,0.9900,76
btc-updown-5m-1771974000,1771974000,2026-02-24 23:00,DOWN,1000,953,77049.07,,0,,0,,0,0.0435,889,0.0297,725
btc-updown-5m-1771974300,1771974300,2026-02-24 23:05,DOWN,1000,988,69668.33,0.0860,125,0.0675,642,0.0124,185,0.0100,55,0.0095,51
btc-updown-5m-1771974600,1771974600,2026-02-24 23:10,UP,1000,983,47799.30,,0,0.8461,496,0.9756,477,0.9900,18,0.9900,15
btc-updown-5m-1771974900,1771974900,2026-02-24 23:15,UP,1000,934,43402.98,,0,,0,,0,0.8564,680,0.9291,769
btc-updown-5m-1771975200,1771975200,2026-02-24 23:20,UP,1000,937,34745.45,,0,,0,,0,0.8087,630,0.8695,715
btc-updown-5m-1771975500,1771975500,2026-02-24 23:25,UP,1000,965,45404.10,,0,,0,0.8776,278,0.9724,590,0.9850,366
btc-updown-5m-1771975800,1771975800,2026-02-24 23:30,DOWN,1000,941,50003.28,,0,,0,,0,0.0542,685,0.0266,629
btc-updown-5m-1771976100,1771976100,2026-02-24 23:35,UP,1000,977,36197.37,,0,0.7370,40,0.8875,655,0.9771,280,0.9894,123
btc-updown-5m-1771976400,1771976400,2026-02-24 23:40,DOWN,1000,971,47360.62,,0,,0,0.1656,660,0.0152,352,0.0113,81
btc-updown-5m-1771976700,1771976700,2026-02-24 23:45,DOWN,1000,958,44655.81,,0,,0,0.1572,472,0.0423,471,0.0185,286
btc-updown-5m-1771977000,1771977000,2026-02-24 23:50,DOWN,1000,946,439739.57,,0,,0,,0,0.1250,730,0.0474,559
btc-updown-5m-1771977300,1771977300,2026-02-24 23:55,UP,1000,874,40387.19,,0,,0,,0,0.5863,396,0.6709,874
btc-updown-5m-1771977600,1771977600,2026-02-25 00:00,DOWN,1000,856,46847.20,,0,,0,,0,0.2523,539,0.1995,760
btc-updown-5m-1771977900,1771977900,2026-02-25 00:05,DOWN,1000,921,32168.39,,0,,0,,0,0.5696,438,0.3266,857
btc-updown-5m-1771978200,1771978200,2026-02-25 00:10,DOWN,1000,961,41362.57,,0,,0,,0,0.1460,875,0.0223,480
btc-updown-5m-1771978500,1771978500,2026-02-25 00:15,UP,1000,981,52121.53,,0,0.8779,223,0.9333,550,0.9877,220,0.9900,75
btc-updown-5m-1771978800,1771978800,2026-02-25 00:20,DOWN,1000,857,39612.22,,0,,0,,0,0.4400,413,0.2582,857
btc-updown-5m-1771979100,1771979100,2026-02-25 00:25,DOWN,1000,971,48813.49,,0,0.0840,428,0.0420,322,0.0148,239,0.0100,46
btc-updown-5m-1771979400,1771979400,2026-02-25 00:30,UP,1000,985,54382.73,0.9785,15,0.9349,504,0.9672,361,0.9899,138,0.9900,52
btc-updown-5m-1771979700,1771979700,2026-02-25 00:35,UP,1000,981,42680.97,0.8718,182,0.9471,638,0.9794,195,0.9900,15,0.9900,18
btc-updown-5m-1771980000,1771980000,2026-02-25 00:40,UP,1000,940,41314.99,,0,,0,,0,0.5895,490,0.7655,892
btc-updown-5m-1771980300,1771980300,2026-02-25 00:45,DOWN,1000,969,52483.47,,0,,0,0.0718,534,0.0136,374,0.0133,289
btc-updown-5m-1771980600,1771980600,2026-02-25 00:50,UP,1000,961,50244.54,,0,,0,0.8652,300,0.9213,617,0.9660,422
btc-updown-5m-1771980900,1771980900,2026-02-25 00:55,DOWN,1000,975,42637.81,,0,,0,0.0726,524,0.0287,458,0.0157,221
btc-updown-5m-1771981200,1771981200,2026-02-25 01:00,UP,1000,970,65876.33,,0,,0,0.9364,472,0.9832,510,0.9878,182
btc-updown-5m-1771981500,1771981500,2026-02-25 01:05,UP,1000,989,42616.45,,0,0.8683,357,0.9707,545,0.9900,67,0.9900,52
btc-updown-5m-1771981800,1771981800,2026-02-25 01:10,UP,1000,993,65122.60,0.9355,891,0.9900,47,0.9900,24,0.9900,11,0.9900,6
btc-updown-5m-1771982100,1771982100,2026-02-25 01:15,UP,1000,937,54901.36,,0,,0,0.9555,253,0.9604,668,0.9890,185
btc-updown-5m-1771982400,1771982400,2026-02-25 01:20,UP,1000,957,60990.97,,0,,0,,0,0.8912,822,0.9560,730
btc-updown-5m-1771982700,1771982700,2026-02-25 01:25,DOWN,1000,945,64919.20,,0,,0,,0,0.9443,40,0.5221,945
btc-updown-5m-1771983000,1771983000,2026-02-25 01:30,UP,1000,932,54024.74,,0,,0,,0,0.9484,542,0.9671,932
btc-updown-5m-1771983300,1771983300,2026-02-25 01:35,UP,1000,955,65759.64,,0,,0,0.9415,118,0.9799,712,0.9849,454
btc-updown-5m-1771983600,1771983600,2026-02-25 01:40,DOWN,1000,955,67837.31,,0,,0,0.0855,533,0.0195,443,0.0101,77
btc-updown-5m-1771983900,1771983900,2026-02-25 01:45,UP,1000,969,50325.90,,0,,0,0.9381,881,0.9887,94,0.9900,17
btc-updown-5m-1771984200,1771984200,2026-02-25 01:50,DOWN,1000,975,52375.92,,0,0.0827,253,0.0468,523,0.0138,238,0.0100,48
btc-updown-5m-1771984500,1771984500,2026-02-25 01:55,UP,1000,839,45511.58,,0,,0,,0,0.6752,309,0.8033,839
btc-updown-5m-1771984800,1771984800,2026-02-25 02:00,UP,1000,905,40107.18,,0,,0,,0,0.9368,487,0.9461,764
btc-updown-5m-1771985100,1771985100,2026-02-25 02:05,UP,1000,972,53314.96,,0,0.9428,566,0.9853,394,0.9900,27,0.9900,32
btc-updown-5m-1771985400,1771985400,2026-02-25 02:10,UP,1000,969,58187.48,,0,,0,0.9534,576,0.9863,373,0.9882,240
btc-updown-5m-1771985700,1771985700,2026-02-25 02:15,DOWN,1000,970,44245.53,,0,,0,0.0842,552,0.0315,410,0.0160,212
btc-updown-5m-1771986000,1771986000,2026-02-25 02:20,DOWN,1000,936,41252.41,,0,,0,,0,0.1710,586,0.1367,936
btc-updown-5m-1771986300,1771986300,2026-02-25 02:25,UP,1000,878,54381.62,,0,,0,,0,0.8116,452,0.9254,878
btc-updown-5m-1771986600,1771986600,2026-02-25 02:30,DOWN,1000,981,49905.86,,0,,0,0.2400,239,0.0337,742,0.0105,111
btc-updown-5m-1771986900,1771986900,2026-02-25 02:35,UP,1000,918,38934.84,,0,,0,,0,0.8601,538,0.8561,842
btc-updown-5m-1771987200,1771987200,2026-02-25 02:40,DOWN,1000,900,37541.35,,0,,0,,0,0.1342,580,0.1070,861
btc-updown-5m-1771987500,1771987500,2026-02-25 02:45,UP,1000,950,41360.52,,0,,0,,0,0.8948,691,0.9237,740
btc-updown-5m-1771987800,1771987800,2026-02-25 02:50,DOWN,1000,881,34167.85,,0,,0,,0,0.2182,420,0.2638,881
btc-updown-5m-1771988100,1771988100,2026-02-25 02:55,DOWN,1000,949,36391.48,,0,,0,,0,0.0873,759,0.0519,576
btc-updown-5m-1771988400,1771988400,2026-02-25 03:00,DOWN,1000,927,49911.39,,0,,0,,0,0.1819,538,0.0541,927
btc-updown-5m-1771988700,1771988700,2026-02-25 03:05,UP,1000,759,40437.21,,0,,0,,0,0.1005,30,0.5923,759
btc-updown-5m-1771989000,1771989000,2026-02-25 03:10,DOWN,1000,970,40991.18,,0,,0,0.1129,442,0.0466,508,0.0219,373
btc-updown-5m-1771989300,1771989300,2026-02-25 03:15,DOWN,1000,978,51522.87,,0,0.0472,906,0.0101,51,0.0100,21,0.0100,8
btc-updown-5m-1771989600,1771989600,2026-02-25 03:20,DOWN,1000,912,38620.61,,0,,0,,0,0.0608,481,0.0635,912
btc-updown-5m-1771989900,1771989900,2026-02-25 03:25,UP,1000,951,62125.89,,0,,0,,0,0.9516,743,0.9812,558
btc-updown-5m-1771990200,1771990200,2026-02-25 03:30,DOWN,1000,910,37141.47,,0,,0,,0,0.6402,40,0.3156,910
btc-updown-5m-1771990500,1771990500,2026-02-25 03:35,DOWN,1000,962,46075.49,,0,,0,,0,0.1741,834,0.0580,758
btc-updown-5m-1771990800,1771990800,2026-02-25 03:40,DOWN,1000,850,37380.15,,0,,0,,0,0.2901,251,0.1457,850
btc-updown-5m-1771991100,1771991100,2026-02-25 03:45,DOWN,1000,962,62042.23,,0,,0,,0,0.0910,755,0.0362,962
btc-updown-5m-1771991400,1771991400,2026-02-25 03:50,UP,1000,886,39328.92,,0,,0,,0,0.8526,539,0.8935,730
btc-updown-5m-1771991700,1771991700,2026-02-25 03:55,DOWN,1000,951,47575.88,,0,,0,,0,0.2054,666,0.0687,885
btc-updown-5m-1771992000,1771992000,2026-02-25 04:00,DOWN,1000,957,56898.38,,0,0.0929,408,0.0237,456,0.0100,115,0.0100,96
btc-updown-5m-1771992300,1771992300,2026-02-25 04:05,UP,1000,942,38514.83,,0,,0,,0,0.7061,553,0.8019,942
btc-updown-5m-1771992600,1771992600,2026-02-25 04:10,UP,1000,972,51031.94,,0,0.9504,210,0.9578,499,0.9783,268,0.9883,130
btc-updown-5m-1771992900,1771992900,2026-02-25 04:15,UP,1000,675,101735.48,,0,,0,,0,0.0994,151,0.7388,675
btc-updown-5m-1771993200,1771993200,2026-02-25 04:20,UP,1000,970,55800.85,,0,,0,0.9435,530,0.9845,434,0.9882,191
btc-updown-5m-1771993500,1771993500,2026-02-25 04:25,UP,1000,723,33350.58,,0,,0,,0,0.3521,4,0.5967,723
btc-updown-5m-1771993800,1771993800,2026-02-25 04:30,DOWN,1000,733,36620.93,,0,,0,,0,0.4396,520,0.4391,670
btc-updown-5m-1771994100,1771994100,2026-02-25 04:35,UP,1000,886,43673.89,,0,,0,,0,0.2389,308,0.6462,886
btc-updown-5m-1771994400,1771994400,2026-02-25 04:40,UP,1000,954,33359.51,,0,,0,,0,0.8245,724,0.9202,750
btc-updown-5m-1771994700,1771994700,2026-02-25 04:45,DOWN,1000,984,52346.40,,0,0.1458,310,0.0482,566,0.0130,130,0.0100,63
btc-updown-5m-1771995000,1771995000,2026-02-25 04:50,DOWN,1000,982,44815.17,0.1975,9,0.0932,552,0.0262,295,0.0139,147,0.0100,33
btc-updown-5m-1771995300,1771995300,2026-02-25 04:55,DOWN,1000,858,39987.58,,0,,0,,0,0.2455,314,0.1481,858
btc-updown-5m-1771995600,1771995600,2026-02-25 05:00,UP,1000,694,47369.55,,0,,0,,0,0.3481,334,0.3994,694
btc-updown-5m-1771995900,1771995900,2026-02-25 05:05,UP,1000,876,53090.14,,0,,0,,0,0.7502,328,0.8441,876
btc-updown-5m-1771996200,1771996200,2026-02-25 05:10,DOWN,1000,983,47827.16,,0,0.1146,371,0.0429,437,0.0128,181,0.0100,67
btc-updown-5m-1771996500,1771996500,2026-02-25 05:15,DOWN,1000,927,35191.47,,0,,0,,0,0.4791,475,0.2738,927
btc-updown-5m-1771996800,1771996800,2026-02-25 05:20,DOWN,1000,955,46644.68,,0,0.1728,178,0.0376,641,0.0105,127,0.0100,71
btc-updown-5m-1771997100,1771997100,2026-02-25 05:25,DOWN,1000,741,427097.84,,0,,0,,0,0.5528,91,0.5532,741
